DEGREE_PROGRAMME,COMPANY_NAME, LOCATION, CONTACT
Software Engineering,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering,Kilifi Referal Hospital,Kilifi,kilifimedicalcomplex@gmail.com
BSC.FINANCIAL ENGINEERING,KIMUNYE TEA FACTORY,KIMUNYE,info@kimunye.ktdateas.com
Business information technology ,Kinoro Tea Factory Ltd,"Meru county, igoji West, Kinoro location ",info@ktdateas.com
Software Engineering,kirinyaga ,Kirinyaga ,info@teach2give
Software Engineering,kirinyaga ,Kirinyaga ,info@teach2give
Actuarial Science ,KIRINYAGA COUNTY CO-OPERATIVE UNION LTD ,KIRINYAGA ,info@kiricop.co.ke
Actuarial Science ,KIRINYAGA COUNTY CO-OPERATIVE UNION LTD ,KIRINYAGA ,info@kiricop.co.ke
Actuarial Science ,KIRINYAGA COUNTY CO-OPERATIVE UNION LTD ,KIRINYAGA ,info@kiricop.co.ke
PA109/G/14526/21,Kirinyaga county government ,Kirinyaga ,info@kirinyaga.go.ke
PA102/G/12215/21,Kirinyaga County Government ,Kirinyaga ,info@kirinyaga.go.ke
Software Engineering ,Kirinyaga County Offices ,Kutus,kirinyagacounty2013@gmail.com
Computer Science,Kiru Tea Factory,"Kiria-ini,Muranga",info@kiru.ktdateas.com
Software Engineering,Kitale T. College,Trans-Nzoia,kitaletechnical19@gmail.com
BSC.SOFTWARE ENGINEERING,Kitale Technical College,Kitale,kitaletechnical19@gmail.com
Software Engineering,Kitale Technical College,Kitale,kitaletchnical19@gmail.com
Statistics,KRA KERICHO BRANCH,KERICHO,callcenter@kra.go.ke
Statistics,KRA KERICHO BRANCH,KERICHO,callcenter@kra.go.ke
Software Engineering ,KTC,Kitale,kitaletechnical19@gmail.com
Software Engineering ,KTC,Kitale,kitaletechnical19@gmail.com
Software Engineering ,KTC,Kitale,kitaletechnical19@gmail.com
Financial Engineering,LAIKIPIA EAST SUB-COUNTY TREASURY,Nanyuki,tkibobo@gmail.com
Software Engineering,LINKSYSCOM MEDIA,MOLO,info@linksys.co.ke
Software Engineering,LINKSYSCOM MEDIA,MOLO,info@linksys.co.ke
Software Engineering,LISH LIMITED,NAKURU,info@lishailabs.com
Software Engineering,Maasai Mara University,Narok,info@mmarau.ac.ke
Financial Engineering,Mabati rolling mills ,THIKA ,rollingmillsm@gmail.com
information technology ,MABATI ROLLING MILLS ,THIKA ,rollingmillsm@gmail.com
Software Engineering ,MARAGUA LEVEL IV HOSPITAL ,Murang'a ,maraguahospital@gmail.com
Computer Science,MATHENGE TECHNICAL TRAINING INSTITUTE,OTHAYA ,info@mathengetti.ac.ke
Software Engineering,Meru Central Dairy,MERU,maziwa@merudairy.co.ke
Business information technology ,ministry of EAC Arid semi Arid lands and Regional Development ,Nairobi ,psasal2018@gmail.com/ps@asals.go.ke
Software Enginnering,"Ministry of information,communication and the digital economy","Nairobi,CBD",info@information.go.ke
Financial Engineering,Ministry of interior and national Administration ,Nairobi,feedback@president.go.ke
Computer Science ,Ministry of Lands Nairobi HQ,Nairobi ,Psland@ardhi.go.ke
CT100/G/15877/22,"Ministry of water, sanitasion and irrigation","Maji house,upper hill, Nairobi ",ps@water.go.ke
information technology,MKU Kitale Odel Centre,Kitale,info@eac.ac.ke
Software Engineering ,Mogogosiek tea factory ,Mogogosiek ,info@ktdateas.com
 Actuarial Science,Mombasa county office; trade and revenue ,"Mombasa, Mvita, Bima towers ",trademombasa9@gmail.com
information technology,Moretouchy company,Kisii,info@muyog.org
Mathematics and Computer Science,Mp-Shah Hospital,NAIROBI,info@mpshahhosp.org
Mathematics and Computer Science ,muki sacco society ,ndunyu njeru ,info@muki sacco.co.ke
information technology,MURANG'A UNIVERSITY OF TECHNOLOGY,MURANG'A TOWN,info@mut.ac.ke
information technology,MURANG'A UNIVERSITY OF TECHNOLOGY,MURANG'A TOWN,info@mut.ac.ke
information technology,MURANG'A UNIVERSITY OF TECHNOLOGY,MURANG'A TOWN,info@mut.ac.ke
Computer Science,Mutall Data Managers,Kajiado,info@dimkessacco.co.ke
Computer Science,Muyong Technologies ,Kiambu,info@muyog.org
information technology ,Mwai Kibaki Hospital - KNH,OTHAYA,knhadmin@knh.or.ke
CT100/G/15907/22,Mwalimu National sacco ,upperhill Nairobi ,mwalimu@mwalimunational.coop
Software Engineering,Nairobi City County,Nairobi ,info@nairobi.go.ke
Business information technology ,NAIROBI CITY COUNTY ,NAIROBI,info@nairobi.go.ke
Software Engineering,NAIROBI CITY COUNTY(CITY HALL ANEX),NAIROBI,INFO@NAIROBI.GO.KE
Software Engineering ,Nairobi City Water and Sewerage Company,Nairobi,info@nairobiwater.co.ke.
information technology ,NAIROBI CITY WATER AND SEWERAGE COMPANY LTD,NAIROBI,infor@nairobiwater.co.ke
Software Engineering,Naj Tracking Ltd,Nairobi Parklands-16 Mogotio Road,najtracking@gmail.com
Software Engineering,NAKURU LEVEL 5 HOSPITAL (REFERRAL) ,NAKURU,rpghnakuru@yahoo.com
information technology,Nakuru level 5/6 Hospital ,Nakuru,rvpghnakuru@yahoo.com
information technology,Nakuru level 5/6 Hospital ,Nakuru ,rvpghnakuru@yahoo.com
Software Engineering,Nakuru Training Institute,Nakuru,info@ntci.ac.ke
Software Engineering,Nakuru Training Institute,Nakuru,info@ntci.ac.ke
information technology ,Nanyuki Teaching and Referral Hospital ,Nanyuki,info@nanyukihospital.org.
information technology ,Nanyuki teaching and referral hospital ,"Nanyuki,Laikipia",nanyukihospital@gmail.com
Software Engineering,NAROK COUNTY GOVERMENT,NAROK,administration@narok.go.ke
information technology,Narok ICT Department,Narok,ronoline.Cheruiyot@icta.go.ke
information technology,National health insurance fund,kerogoya,kerogoya@nhif.or.ke
Mathematics and Computer Science,NATIONAL HEALTH INSURANCE FUND-KISII,KISII,kisii@nhif.or.ke
Mathematics and Computer Science,National Hospital Insurance Fund,EMBU,embu@nhif.or.ke
Mathematics and Computer Science,National Hospital Insurance Fund,EMBU,embu@nhif.or.ke
Mathematics and Computer Science,National Hospital Insurance Fund,EMBU,embu@nhif.or.ke
Statistics,National Social Security Fund,Kerugoya ,info@nssfkenya.co.ke
Statistics ,national social security fund,"KAPENGURIA,west pokot ",info@nssfkenya.co.ke
Satistics,National Social security Fund,Kerugoya,info@nssfkenya.co.ke
Satistics,National Social security Fund,Kerugoya,info@nssfkenya.co.ke
Computer Science,NATIONAL SOCIAL SECURITY FUND ,Nairobi Westlands ,"nssf.westlands@nssfkenya.co.ke
"
Statistics ,NATIONAL SOCIAL SECURITY FUND ,KAPENGURIA ,infor@nssfkenya.co.ke
Mathmatics and computer science,NCPB,Nairobi,infor@ncpb.co.ke
Computer System Engineering,Nextgen NETWORKS ,Nairobi ,info@nextgenke.com
Mathematics and Computer Science,NG-CDF NYARIBARI MASABA CONSTITUENCY ,KEROKA-MASIMBA,cdfnyaribarimasaba@ngcdf.go.ke
Mathematics and Computer Science,NGANDORI WATER & SANITITATION COMPANY LTD,Embu,ngandoriwater@yahoo.com
Software Engineering ,Ngenx Solutions Limited,Nairobi ,info@ngenx.io
Financial Engineering,Ngo coordination board,Nairobi ,info@ngobureau.go.ke
Statistics,NHIF THIKA,"THIKA,KIAMBU",info@nhif.or.ke
Computer Science,NSSF THIKA,THIKA ,info@nssfkenya.co.ke
Computer Science,NYAMIRA COUNTY OFFICE HQ,NYAMIRA,info@nyamira.go.ke
Software Engineering ,Office of the Data Protection Commissioner ,"Britam Towers, Upperhill Nairobi ",info@odpc.go.ke
information technology ,OLENGURUONE TEA FACTORY LIMITED,"Kiptagich ,Nakuru",info@olenguruone.ktdateas.com
information technology ,OLENGURUONE TEA FACTORY LIMITED,"Kiptagich ,Nakuru",info@olenguruone.ktdateas.com
Software Engineering ,PATNAS SACCO SOCIETY ,chebirbelek Bomet,info@patnassacco.co.ke
Software Engineering ,Paveeria Tech Solutions ,Nyeri Town ,careers@paveeriatechsolutions.co.ke
Computer Science ,PCEA Nakuru West College ,Nakuru ,info@pceamedicalcollege.ac.ke 
Computer Science,Power Learn Project,"Lower Kabete, Nairobi",info@powerlearnproject.org
Mathematics and Computer Science,Quantam Nebula Limited,Nairobi,info.quantamnebula@gmail.com
Statistics ,Ram Hospital,kisii,hospitalramkisii@gmail
Mathematics and Computer Science,RAM HOSPITAL,JOGOO ROAD,hospitalramkisii@gmail.com
Software Engineering ,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,Nakuru,principal@rvist.ac.ke
Software Engineering ,Rift Valley Institute.,Nakuru,principal@rvist.ac.e
Software Engineering,Rift Valley Training Insitute ,Nakuru,principal@rvist.ac.ke
Software Engineering ,Rift Valley Training Institute,Nakuru,principal@rvist.ac.ke
Software Engineering,Rift Valley Training Institute,Nakuru,principal@rvist.ac.ke
Software Engineering,Rift Valley Training Institute,Nakuru,principal@rvist.ac.ke
Financial Engineering,Rigoma school, Nyamira,rigomagirls@gmail.com
information technology,Rudis Gadget World,ELDORET,rgroupeld@gmail.com
Statistics,SAFRA DATA,Nairobi ,safraconsultke@gmail.com
Statistics ,SAFRA DATA,Nairobi ,safraconsultke@gmail.com
Software Engineering,Sankhyana Consultancy Services,Nairobi,info@sankhyana.com
Software Engineering,Sankhyana Consultancy Services,Nairobi,info@sankhyana.com
Computer System Engineering,SEROXIDE ENTERTAINMENT,"HOMA BAY, NYANZA",info@seroxideentertainment.co.ke
Software Engineering ,SHOFCO ,Nairobi ,info@shofco.org
information technology,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering ,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
information technology ,Sidiana bank ,Kilimani Nairobi ,Talktous@sidianbank.co.ke
Financial Engineering,Simba Chai Sacco ,Kericho town,info@simbachaisacco.co.ke
Mathematics and Computer Science,SOGUTU HQ TELEKOM,BUNGOMA,sogutuhqtelekom@gmail.com
Software Engineering,SOMO AFRICA ,"NAIROBI, OLYMPIC",contact@somoafrica.org
 Actuarial Science,SOUTHERN STAR SACCO,chogoria town,info@sothernstar.co.ke
Financial Engineering,St Mary's Mision Hsp,Nakuru,elementaita@stmmh.co.ke
Mathematics and Computer Science ,St Theresa dispensary ,Kitengela ,info@sttheresahealth.com
Software Engineering,Starshine Group LTD,ELDORET,starshinegroupltd@gmail.com
Mathematics and computer science,Stella wanyaga,Embu,info@embu.go.ke
Computer Science,STRAIGHT UP MISSION,"MARA, NAROK",straightupmission@gmail.com
information technology,Suba-Sub county hospital.,Homabay,Subadhmt@gmail.com
Computer Science,Systems Reengineered,"Nairobi, Westlands",info@sysre.co.ke
Financial Engineering,Tausi Assurance Company Limited,"Westlands ,Nairobi",clients@tausiassurance.com
information technology ,Teach2give,Nyeri ,info@teach2give.com
Software Engineering ,Techance Limited,"Ongata Rongai,Kajiado",info@techance.co.ke
information technology,Techlion,NAIROBI,info@techlion.co.ke
Software Engineering,Techsak Technologies,Ruiru Bypass ,samwel2030@gmail.com
information technology,TechSavanna Company Limited,"Reliance Centre,Nairobi",info@techsavanna.technology
Computer Science,Tetu Aberdare Water & Sanitation Company LTD,NYERI,teawasco@gmail.com
Software Engineering,THALES SOFTWARE SOLUTIONS,Nakuru,info@itea4.org
Software Engineering,Thales Software Solutions,Nakuru,thalessolutions189@gmail.com
Business information technology,THE NYERI NATIONAL POLYTECHNIC,NYERI,info@thenyeripoly.ac.ke
information technology,Thika Ministry of Education,Thika,educationthika@yahoo
Computer Science,Thika Technical Training Institute,Thika,info@thikatechnical.ac.ke
Computer Science,UNIVERSITY OF EMBU,EMBU,info@embuni.ac.ke
Mathematics and Computer Science,VERITAS BOOKKEEPERS,NAIROBI-Westlands,info@veritasbookkeepers.com
ACTURIAL SCIENCE,WAKENYA PAMOJA SACCO,KISII,wpsacco@wakenyapamojasacco.com
Compter Science,Wanaanga credit and savings cooperative,"Nairobi,Dagoretti Corner",waanga@yahoo.com
Software Engineering ,WEBUYE COUNTY HOSPITAL,WEBUYE,webuyedistricthospital@yahoo.com
Mathematics and Computer Science,West pokot Treasury and Economic Planning,Kapenguria,info@westpokot.go.ke
Computer Science ,Wilmas Computers ,Kerugoya,wilmascomputers@gmail.com
Financial Engineering,WRA narok sub basin,Narok,wrmanarok@gmail.com
Software Engineering,Xtranet Communications,Nairobi,dancan.okeyo@xtranet.co.ke
Software Engineering,zeno Computers,MOMBASA,zenocomputer254@gmail.com
information technology,Zora Technologies,Nyandarua,zoratechnologies@gmail.com
Software Engineering,Zetech University,Ruiru,info@zetech.ac.ke
Statistics ,Nazareth Hospital ,Kiambu,ruirunazarethhospital@gmail.com
Software Engineering ,Nakuru referral hospital ,Nakuru ,rpghnakuru@yahoo.com
 Computer System Engineering,Clifford technologies Limited,"Parklands, Nairobi",info@clifford.co.ke
Computer Science ,THETA TEA FACTORY ,Kiganjo,info@theta.ktdateas.com
Statistics ,COUNTY GOVERNMENT OF BUNGOMA ,Bungoma ,bungomacountygovt@gmail.com
Statistics ,COUNTY GOVERNMENT OF MÛRANG'A ,Mûrang'a ,cdpomuranga@gmail.com
Software Engineering,COUNTY GOVERMENT OF NAIROBI,NAIROBI,INFO@NAIROBI.CO.KE
Mathematics and Computer Science,Agricultural Finance Corporation ,Loitokitok,info@agrifinance.org
Software Engineering,TEACH2GIVE,NYERI,info@teach2give.com
Business information technology,THE NYERI NATIONAL POLYTECHNIC,,info@thenyeripoly.ac.ke
information technology,Tonycomm Internet Providers,NAKURU ,tonycommgroupltd@gmail.com
Actuarial Science ,Kirinyaga County Government ,Kirinyaga ,info@kirinyaga.go.ke
Mathematics and Computer Science,   NCPB ,EMBU,info@ncpb.co.ke
information technology ,Thika technical training institute,Thika,thikatechnical@gmail.com
Software Engineering ,Zeno computers,Timau town,info@timesusacco.co.ke
Actuarial Science, Zeno computers,Nairobi,info@agilecloud.co.ke
Financial Engineering,REVENUE-COUNTY GOVERNMENT OF BUNGOMA ,SIRISIA -BUNGOMA ,bungomacountygvt@gmail.com
Software Engineering ,ANTKIM ENTERPRISES LTD ,Nairobi,antkimenterprises@gmail.com
Financial Engineering,KENYA ANIMAL GENETIC RESOURCES CENTER,Nairobi,info@kagric.co.ke
information technology ,Mathari hospital ,Muthaiga ,matharihospital@gmail.com
Actuarial Science ,TRANS NATIONAL TIMES SACCO LTD,Kitale ,info@tntsacco.co.ke 
Financial Engineering,NATIONAL SUB COUNTY TREASURY SOTIK,BOMET,treasury.sotik@gmail.com
Computer Science,National Health Inssurance Fund,Kerugoya,kerugoya@nhif.or.ke
Software Engineering,Nyandarua county government,OLKALOU,es@nyandarua.go.ke
BSC. ACTURIAL  SCIENCE ,RUIRU NAZARETH HOSPITAL,RUIRU,ruirunazarethhospital@gmail.com
Software Engineering,POWER HUB CONSULTANT LIMITED,KIAMBU,info@powerhub.co.ke
ACTURIAL  SCIENCE,Ruiru Nazareth Hospital,Ruiru,ruirunazarethhospital@gmail.com
Mathematics and Computer Science,Meru county government,Meru,merucounty@meru.go.ke
Mathematics and Computer Science,NG-CDF,Kirinyaga,cfkirinyagacentral@ngcdf.go.ke
Software Engineering,Christian Outreach Center,Thika,kingorimwangi237@gmail.com
Software Engineering,county government of kirinyaga ,kutus,info@kirinyaga.go.ke
Software Engineering ,Thales Software Solutions ,Nakuru,thalessolutions189@gmail.com
Software Engineering,Teach2give,Nyeri,info@teach2give.com
 Computer System Engineering,Clifford technologies limited,Nairobi,info@clifford.co.ke
Software Engineering ,University of Eldoret ,Eldoret ,info@uoeld.ac.ke
Mathematics and Computer Science ,Mukuru Referral Hospital ,Nairobi ,mukuruccc54@gmail.com
Business information technology ,COMPULYNX,Westlands,WWW.Compulynx.com
information technology,PROCOM NETWORKING SOLUTIONS LTD,NAIROBI,info@procom.net.co.ke
Mathematics and Computer Science,COUNTY GOVERNMENT OF WEST POKOT,KAPENGURIA,dome@gmail.com
Software Engineering ,Kega Limited ,kabete ,benjaminkivue@gmail.com
Computer Science ,county government of kitui ,kitui town,ict@kitui.go.ke
Business information technology ,Pivot Networks,Nairobi,frankline.kelvin@pivotnetworks.co.ke
Software Engineering,Upendo Electronics ltd,Nairobi branch,Bygrace2022shop@gmail.com
Software Engineering ,ikutha level 4 hospital ,"ikutha, kitui",Swambua00@gmail.com
 Mathematics and computer science,Eldoret water and sanitation company,Eldoret,info@eldowas.or.ke
Statistics ,Joy millers Limited,Kutus,admin@joymillerlimited.co.ke
Software Engineering ,Kijana Poa Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering ,Sanganti Tea Company ,Nyamira,info@sanganyi.ktdates.com
Computer Science,Agile Cloud ,Nairobi,info@agilecloud.co.ke
information technology ,Sidiana bank ,"Kitui Town, Kitui",support@masyopnet.com
Computer Systems Engineering ,       KONZA TECHNOPOLIS,Nairobi ,konza@konza.go.ke
Software Engineering,THALES SOFTWARE SOLUTIONS,Nakuru,info@itea4.org
Software Engineering,POWERHUB CONSULTANT LIMITED,ruiru,info@powerhub.co.ke
Statistics ,NHIF Nakuru,Nakuru,nakuru@nhif.or.ke
Bsc  Computer  Science ,Dina Web Developers,Nakuru,dinawebdevelopers@gmail.com 
Software Engineering,Upendo electronics ltd,Nairobi branch,Bygrace2022shop@gmail.com
Software Engineering ,Kenya forest services ,Nairobi,info@kenyaforestservices
Statistics statistics,KNBS,Nyeri,nyeri@knbs.or.ke
Software Engineering ,county government of Nakuru ,Nakuru,info@nakuru.go.ke
Software Engineering ,craydel kenya limited,Nairobi,info@craydel.com
Computer Science,SALIM ENTERPRISES,KERUGOYA,nyaga@gmail.com
Software Engineering,kirinyaga county headquarters,kerugoya,countycommissionerkirinyaga@gmail.com
Software Engineering,Rapsoltech consulting,Ruiru,rapsoltech254@gmail.com
Software engineering,Gully Net solutions,Kinoo,gullynet @gmail.com
Software Engineering ,county government nakuru,Nakuru ,info@nakuru.go.ke
Information  technology ,FILMTECH SYSTEMS ,NAIROBI ,filmtech systems @gmail.com 
Computer Science,Meru university -Meru town campus,Meru,towncampus@must.ac.ke
mathematics and computer science ,Teach2Give ,Nyeri,info@teach2give.com
Software Engineering,Maji.co.ke,NAIROBI ,info@maji.co.ke
information technology ,Mwea Software company,Mwea,mweasoftwarecompany@gmail.com
Computer Science,NHIF kerugoya,Kerugoya ,kerugoya@nhif.or.ke
mathematics and computer science,Umeskia softawares,Kutus,info@umeskiasoftwares.com
mathematics and computer science,Umeskia softawares,Kutus,info@umeskiasoftwares.com
Computer Science,masyopnet Technologies,Kitui,support@masyopnet.com
Software Engineering,masyopnet Technologies,Kitui,support@masyopnet.com
information technology ,PRO. RESEARCH CO,Nairobi. Kutus ,Proresearch@gmail.com
Course Computer Science,Delmonte limited company,Thika,nanasi@delmonte.co.ke
information technology ,KINANGOP TECHNICAL AND VOCATIONAL COLLEGE,NJABINI,kinangoptvc@gmail.com
information technology,"PRP4+ GM8, Uthiru Nairobi",Nairobi,info@franciumsources.com
Software Engineering,"HUDUMA CENTER GPO, NAIROBI",NAIROBI,info@hudumakenya.go.ke
information technology,MURANG'A UNIVERSITY,MURANG'A,info@mut.ac.ke
Actuarial Science,Britam Life Assurance ,Nairobi ,info@britam.com
Software Engineering,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,NAKURU,Principal@rvist.ac.ke
information technology,THIWASCO,THIKA,info@thikawater.co.ke
information technology,NYANGENA HOSPITAL LIMITED,KISII,info@nyangenahospital.com
information technology,Kenya Airport Authority,Nairobi,info@kaa.go.ke
information technology,EASY COMPUTER TRAINING COLLEGE,KISII,easycomp@gmail.com 
information technology,MAJI.CO.KE,NAIROBI,info@maji.co.ke
Software Engineering,Starnet Solutions Limited,Ruai Nairobi,info@starnet.co.ke
information technology,COUNTY GOVERNMENT OF NYANDARUA,OLKALOU,info@nyandarua.go.ke
Computer Science,County Government of Kirinyaga,Kirinyaga,info@kirinyaga.go.ke
Software Engineering,Couty Government of Nakuru Department of Finance,Nakuru,psm@nakuru.go.e
Computer Science,Nyeri Water and Sanitation company limited ,Nyeri ,www.nyewasco.co.ke
Software Engineering ,county government of Nakuru ,Nakuru,info@nakuru.go.ke
Software Engineering ,craydel kenya limited,Nairobi,info@craydel.com
Software Engineering ,Kerugoya County Referal Hospital,kerugoya,kerugoyahopital@gmail.com
Software Engineering,kirinyaga county headquarters,kerugoya,countycommissionerkirinyaga@gmail.com
Software Engineering,Rapsoltech consulting,Ruiru,rapsoltech254@gmail.com
Software engineering,Gully Net solutions,Kinoo,gullynet @gmail.com
Software Engineering ,Ministry of ICT- ICT Authority West Pokot ,Kapenguria,daniel.odongo@icta.go.ke
information technology ,Biashara wakulima daily society limited ,Naivasha ,wambuikamaru824@gmail.com
Computer Science,UNITED STATES INTERNATIONAL UNIVERSITY ,NAIROBI ,helpdesk@usiu.ac.ke
Computer Science,KENVERSITY SACCO LTD,NAIROBI ,info.@kenversitysacco.co.ke
Business information technology ,National Social Security Fund ,Nakuru,info@nssfkenya.co.ke
information technology ,KIRINYAGA COUNTY OFFICE REVENUE COLLECTION ,Kerugoya,info@kirinyaga.go.ke
 BUSINESS information technology,KENAFRIC  INDUSTRY ,NAIROBI,admin@kenafricind.com
Software Engineering,TEACH2GIVE,KUTUS,info@teach2give.com
SOFTWARE ENGINEERING,QUICK KOBIL SERVICES ORG,EMBU,quickkobilembu@yahoo.com
Mathematics & computer Science,COUNTY GOVERNMENT OF BOMET,BOMET,Gilbert.cheruiyot@bomet.go.ke
Financial Engineering ,NAIROBI CITY WATER AND SEWERAGE COMPANY LTD @ ,Nairobi ,@nairobiwater.co.ke
Financial Engineering ,MABATI ROLLING MILLS ,Nairobi ,rollingmillsm@gmail.com
Mathematics and Computer Science,County Government of Embu,Embu,info@embu.go.ke
Computer Science,COUNTY GOVERNMENT OF NAKURU,Nakuru,info@nakuru.go.ke
Mathematics and Computer Science,COUNTY GOVERNMENT OF EMBU,Embu,info@embu.go.ke
Financial Engineering ,Gitugi Tea Factory Limited,Othaya,info@ktdateas.com
Actuarial Science ,MINET KENYA INSURANCE BROKERS LTD ,NAIROBI ,info@minet.co.ke
information technology,MURANG'A UNIVERSITY OF TECHNOLOGY,MURANG'A,info@mut.ac.ke
Business information technology ,UNIVERSITY OF EMBU,EMBU,dvc.paf@embuni.ac.ke
Business information technology ,Teach2give training program ,Nyeri,info@teach2give.com
Computer Science,LEETECH WORLD K LIMITED,Kitui,leetechworldklimited@gmail.com
information technology,KENYA AGRICULTURAL AND LIVESTOCK RESEARCH ORGANIZATION ,Kisumu,: director.sri@kalro.org
SOFTWARE ENGINEERING,MOMONIAT COFFEE FARMERS CO-OPERATIVE SOCIETY,"Kericho,kipkelion",momcopsociety@gmail.com
Software Engineering,PREMIER BANK EASTLEIGH ONE - GARISSA LODGE BRANCH," Eastleigh,Nairobi",info.eastleighbranch@fcb.co.ke
Statistics ,KENYA AGRICULTURAL AND LIVESTOCK RESEARCH ORGANISATION,KABETE ,info@kalro.org
Computer Science,County government of kirinyaga ,Kutus,info@kirinyaga.go.ke
Computer Systems Engineering,SEROXIDE ENTERTAINMENT,"Homa Bay, Nyanza",info@seroxideentertainment.co.ke
Computer Science,County government of Kirinyaga,,info@kirinyaga.go.ke
Computer Science,KTDA,Nyamira,Info@tombe.ktdateas.com
Mathematics and Computer Science,MINISTRY OF ROADS AND PUBLIC TRANSPORT,"Industrial area, Nairobi",cmte@mechanical.go.ke
Software Engineering,Gully Net Solutions,Kinoo,gullynet@gmail.com
information technology,EMBU LEVEL 5 HOSPITAL,EMBU,pghembu@gmail.com
information technology ,KE-900 Oseronyokie Child Development & Resource Centre ,"Ewuaso, Kajiado",ke900pomcoseronyokie@gmail.com
business information technology,Environment and Land Court,"Thika, Kiambu ",thikaelc@gmail.com
Computer Systems Engineering,KENYA MARITIME AUTHORITY,Mombasa,info@kma.go.ke
Business information technology ,i-lab Africa ,Nairobi ,ilabafrica@strathmore.edu
information technology ,Xping Technologies LTD,"Kikuyu, Kiambu",@xpingtechnologies.com
Software Engineering ,Techkids Africa,Mombasa,techkidsafrica@gmail.com
Computer Science,Kapenguria County Refferal Hospital,"kapenguria,west pokot",kapenguria@yahoo.com
Mathematics and Computer Science ,ICT fire and rescue ,"Thika,kiambu",info@ictfire.com
Computer System Engineering ,Kinoo Gully Net Solution ,kinoo,gullynet@gmail.com
Computer Science,KEFRI COAST ECO-REGION ,"Gede,Kilifi",rdgede@kefri.org
information technology,CyberEdge Systems,Nairobi,info@cyberedgesystems.com
information technology,county government of Kirinyaga,Kutus,info@kirinyaga.go.ke
Computer Science,AGILE CLOUD LIMITED,NAIROBI ,info@agilecloud.co.ke
information technology,WAITHAKA V.T.C,NAIROBI,waithakatechicalcenter@gmail.com
information technology,EMBU LEVEL 5 HOSPITAL,EMBU,pgembu@gmai.com
Software Engineering,Delian Consultancy,kericho,infodeliyan@gmail.com
information technology,EMBU LEVEL 5 HOSPITAL,EMBU,pgembu@gmail.com
ACTUARIAL SCIENCE,PLATINUM CREDIT LIMITED- RONGAI BRANCH,RONGAI,rongailbf@gmail.com
Actuarial Science,FIDELITY SHIELD INSURANCE ,NAKURU,nakuru@fidelityshield.com
Business information technology ,KU referral ,Nairobi ,customercare@kutrrh.go.ke
Actuarial Science,Nile Capita insurance Brokerage,Nairobi,customer.care@nilecapotal.co.ke
Software Engineering ,RONGO UNIVERSITY ,MIGORY,egaa@rongovarsity.ac.ke
Actuarial Science ,Bricks insurance Agency limited ,Nairobi - Upperhill ,underwriting bricks@gmail.com
Statistics,K.N.B.S,Kerugoya,info@knbs.or.ke
information technology,County Assembly of Nakuru,Nakuru,Wasegesward@gmail.com
information technology ,Tenwek Hospital ,Bomet,customer.experience@tenwekhosp.org
Actuarial Science ,Tower Sacco,Nakuru,info@towersacco.co.ke
Actuarial Science,PALMTIMES EXTRA SOLUTIONS LIMITED,NAIROBI,info@palmtimessolutions.com
Business information technology,A-PLUS MOTORS LTD,NAIROBI,info@aplusmotors.biz
Actuarial Science,Meru Central Dairy Co-operative Union Ltd,MERU,Merucentralmaziwa@gmail.com
information technology ,NDWIGA ELECTRONICS ,EMBU, ndwigaelectronics@gmail.com
Business information technology ,"Ministry of Investment ,trading and industry",NAIROBI,ps@trade.go.ke
Software Engineering,OPEN UNIVERSITY OF kENYA,MACHAKOS,info@ouk.ac.ke
Statistics ,TEBESONIK TEA FACTORY,Kericho,info@tebesonik.ktdateas.com
Statistics,KENYA NATIONAL BUREAU OF STATISTICS,NAIROBI,info@knbs.or.ke
Actuarial Science ,Meru Central Dairy Co-operative Union Ltd,MERU,Merucentralmaziwa@gmail.com
Statistics,county government of Siaya,Siaya,info@siaya.com
information technology,KAPSABET COUNTY REFFERAL HOSPITAL,KAPSABET,info@nandi.go.ke
Actuarial Science ,pro research co ltd ,Nairobi,proresearch@gmail.com
Software Engineering ,CRYSTAL TECHNOLOGY ,NAIROBI,crystal technologies@gmail.com
Business information technology,EWASCO,Embu,info@embuwater.co.ke
Actuarial Science,Thales software software ,Nakuru,thalessolutions189@gmail.com
Actuarial Science,COUNTY GOVERNMENT OF EMBU,EMBU,csembucounty@gmail.com
Software Engineering ,COUNTY GOVERNMENT OF KERICHO ,KERICHO,info@kericho.go.ke
Software Engineering ,MasyopNET Technologies,Kitui,support@masyopnet.com
ACTURIAL SCIENCE,KAPKATET TEA FACTORY,"Litein , KERICHO",info@kapkatet.ktdateas.com
Software Engineering ,Shield International ,Nairobi ,info@shieldintlorg.com
Actuarial Science,Meru Dairy Cooperative union LTD,Meru,maziwa@merudairy.co.ke
Actuarial Science ,Directline assurance co ltd,kiambu,"
ababioinsuranceagency@gmail.com"
information technology,NDWIGA ELECTRONICS ,EMBU,ndwigaelectronics@gmail.com
